GO_term	genomefreq	chrXXfreq
GO:0005484	2	0
GO:0031201	1	0
GO:0030130	2	0
GO:0030132	2	0
GO:0000836	1	0
GO:0030433	1	0
GO:0061630	1	0
GO:0030173	1	0
GO:0004609	7	0
GO:0045281	1	0
GO:0003857	5	0
GO:0016832	4	0
GO:0004784	4	0
GO:0004160	2	0
GO:0008047	1	0
GO:0043085	1	0
GO:0004045	2	0
GO:0016872	2	0
GO:0070985	1	0
GO:0006839	1	0
GO:0004180	1	0
GO:0004751	2	0
GO:0030042	2	0
GO:0004735	4	0
GO:0003885	4	0
GO:0045095	1	0
GO:0001760	2	0
GO:1904984	2	0
GO:0006568	5	0
GO:0000334	2	0
GO:0006004	2	0
GO:0008652	5	0
